================================================================================
模型文件: best_model.pth
文件类型: State Dict (Pure Weights)
过滤前缀: backbone.
匹配层数: 409
================================================================================

Layer Name (键名)                                              | Shape (维度)                | Params (参数量)
backbone.features.8.channel_mixer.m.2.bn.weight              | [160]                     | 160
backbone.features.8.channel_mixer.m.2.bn.bias                | [160]                     | 160
backbone.features.8.channel_mixer.m.2.bn.running_mean        | [160]                     | 160
backbone.features.8.channel_mixer.m.2.bn.running_var         | [160]                     | 160
backbone.features.8.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1
backbone.features.9.token_mixer.0.conv.c.weight              | [160, 1, 3, 3]            | 1,440
backbone.features.9.token_mixer.0.conv.bn.weight             | [160]                     | 160
backbone.features.9.token_mixer.0.conv.bn.bias               | [160]                     | 160
backbone.features.9.token_mixer.0.conv.bn.running_mean       | [160]                     | 160
backbone.features.9.token_mixer.0.conv.bn.running_var        | [160]                     | 160
backbone.features.9.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.9.token_mixer.0.conv1.weight               | [160, 1, 1, 1]            | 160
backbone.features.9.token_mixer.0.conv1.bias                 | [160]                     | 160
backbone.features.9.token_mixer.0.bn.weight                  | [160]                     | 160
backbone.features.9.token_mixer.0.bn.bias                    | [160]                     | 160
backbone.features.9.token_mixer.0.bn.running_mean            | [160]                     | 160
backbone.features.9.token_mixer.0.bn.running_var             | [160]                     | 160
backbone.features.9.token_mixer.0.bn.num_batches_tracked     | []                        | 1
backbone.features.9.token_mixer.1.fc1.weight                 | [40, 160, 1, 1]           | 6,400
backbone.features.9.token_mixer.1.fc1.bias                   | [40]                      | 40
backbone.features.9.token_mixer.1.fc2.weight                 | [160, 40, 1, 1]           | 6,400
backbone.features.9.token_mixer.1.fc2.bias                   | [160]                     | 160
backbone.features.9.channel_mixer.m.0.c.weight               | [320, 160, 1, 1]          | 51,200
backbone.features.9.channel_mixer.m.0.bn.weight              | [320]                     | 320
backbone.features.9.channel_mixer.m.0.bn.bias                | [320]                     | 320
backbone.features.9.channel_mixer.m.0.bn.running_mean        | [320]                     | 320
backbone.features.9.channel_mixer.m.0.bn.running_var         | [320]                     | 320
backbone.features.9.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.9.channel_mixer.m.2.c.weight               | [160, 320, 1, 1]          | 51,200
backbone.features.9.channel_mixer.m.2.bn.weight              | [160]                     | 160
backbone.features.9.channel_mixer.m.2.bn.bias                | [160]                     | 160
backbone.features.9.channel_mixer.m.2.bn.running_mean        | [160]                     | 160
backbone.features.9.channel_mixer.m.2.bn.running_var         | [160]                     | 160
backbone.features.9.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1
backbone.features.10.token_mixer.0.conv.c.weight             | [160, 1, 3, 3]            | 1,440
backbone.features.10.token_mixer.0.conv.bn.weight            | [160]                     | 160
backbone.features.10.token_mixer.0.conv.bn.bias              | [160]                     | 160
backbone.features.10.token_mixer.0.conv.bn.running_mean      | [160]                     | 160
backbone.features.10.token_mixer.0.conv.bn.running_var       | [160]                     | 160
backbone.features.10.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.10.token_mixer.0.conv1.weight              | [160, 1, 1, 1]            | 160
backbone.features.10.token_mixer.0.conv1.bias                | [160]                     | 160
backbone.features.10.token_mixer.0.bn.weight                 | [160]                     | 160
backbone.features.10.token_mixer.0.bn.bias                   | [160]                     | 160
backbone.features.10.token_mixer.0.bn.running_mean           | [160]                     | 160
backbone.features.10.token_mixer.0.bn.running_var            | [160]                     | 160
backbone.features.10.token_mixer.0.bn.num_batches_tracked    | []                        | 1
backbone.features.10.channel_mixer.m.0.c.weight              | [320, 160, 1, 1]          | 51,200
backbone.features.10.channel_mixer.m.0.bn.weight             | [320]                     | 320
backbone.features.10.channel_mixer.m.0.bn.bias               | [320]                     | 320
backbone.features.10.channel_mixer.m.0.bn.running_mean       | [320]                     | 320
backbone.features.10.channel_mixer.m.0.bn.running_var        | [320]                     | 320
backbone.features.10.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.10.channel_mixer.m.2.c.weight              | [160, 320, 1, 1]          | 51,200
backbone.features.10.channel_mixer.m.2.bn.weight             | [160]                     | 160
backbone.features.10.channel_mixer.m.2.bn.bias               | [160]                     | 160
backbone.features.10.channel_mixer.m.2.bn.running_mean       | [160]                     | 160
backbone.features.10.channel_mixer.m.2.bn.running_var        | [160]                     | 160
backbone.features.10.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1
backbone.features.11.token_mixer.0.conv.c.weight             | [160, 1, 3, 3]            | 1,440
backbone.features.11.token_mixer.0.conv.bn.weight            | [160]                     | 160
backbone.features.11.token_mixer.0.conv.bn.bias              | [160]                     | 160
backbone.features.11.token_mixer.0.conv.bn.running_mean      | [160]                     | 160
backbone.features.11.token_mixer.0.conv.bn.running_var       | [160]                     | 160
backbone.features.11.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.11.token_mixer.0.conv1.weight              | [160, 1, 1, 1]            | 160
backbone.features.11.token_mixer.0.conv1.bias                | [160]                     | 160
backbone.features.11.token_mixer.0.bn.weight                 | [160]                     | 160
backbone.features.11.token_mixer.0.bn.bias                   | [160]                     | 160
backbone.features.11.token_mixer.0.bn.running_mean           | [160]                     | 160
backbone.features.11.token_mixer.0.bn.running_var            | [160]                     | 160
backbone.features.11.token_mixer.0.bn.num_batches_tracked    | []                        | 1
backbone.features.11.token_mixer.1.fc1.weight                | [40, 160, 1, 1]           | 6,400
backbone.features.11.token_mixer.1.fc1.bias                  | [40]                      | 40
backbone.features.11.token_mixer.1.fc2.weight                | [160, 40, 1, 1]           | 6,400
backbone.features.11.token_mixer.1.fc2.bias                  | [160]                     | 160
backbone.features.11.channel_mixer.m.0.c.weight              | [320, 160, 1, 1]          | 51,200
backbone.features.11.channel_mixer.m.0.bn.weight             | [320]                     | 320
backbone.features.11.channel_mixer.m.0.bn.bias               | [320]                     | 320
backbone.features.11.channel_mixer.m.0.bn.running_mean       | [320]                     | 320
backbone.features.11.channel_mixer.m.0.bn.running_var        | [320]                     | 320
backbone.features.11.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.11.channel_mixer.m.2.c.weight              | [160, 320, 1, 1]          | 51,200
backbone.features.11.channel_mixer.m.2.bn.weight             | [160]                     | 160
backbone.features.11.channel_mixer.m.2.bn.bias               | [160]                     | 160
backbone.features.11.channel_mixer.m.2.bn.running_mean       | [160]                     | 160
backbone.features.11.channel_mixer.m.2.bn.running_var        | [160]                     | 160
backbone.features.11.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1
backbone.features.12.token_mixer.0.conv.c.weight             | [160, 1, 3, 3]            | 1,440
backbone.features.12.token_mixer.0.conv.bn.weight            | [160]                     | 160
backbone.features.12.token_mixer.0.conv.bn.bias              | [160]                     | 160
backbone.features.12.token_mixer.0.conv.bn.running_mean      | [160]                     | 160
backbone.features.12.token_mixer.0.conv.bn.running_var       | [160]                     | 160
backbone.features.12.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.12.token_mixer.0.conv1.weight              | [160, 1, 1, 1]            | 160
backbone.features.12.token_mixer.0.conv1.bias                | [160]                     | 160
backbone.features.12.token_mixer.0.bn.weight                 | [160]                     | 160
backbone.features.12.token_mixer.0.bn.bias                   | [160]                     | 160
backbone.features.12.token_mixer.0.bn.running_mean           | [160]                     | 160
backbone.features.12.token_mixer.0.bn.running_var            | [160]                     | 160
backbone.features.12.token_mixer.0.bn.num_batches_tracked    | []                        | 1
backbone.features.12.channel_mixer.m.0.c.weight              | [320, 160, 1, 1]          | 51,200
backbone.features.12.channel_mixer.m.0.bn.weight             | [320]                     | 320
backbone.features.12.channel_mixer.m.0.bn.bias               | [320]                     | 320
backbone.features.12.channel_mixer.m.0.bn.running_mean       | [320]                     | 320
backbone.features.12.channel_mixer.m.0.bn.running_var        | [320]                     | 320
backbone.features.12.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.12.channel_mixer.m.2.c.weight              | [160, 320, 1, 1]          | 51,200
backbone.features.12.channel_mixer.m.2.bn.weight             | [160]                     | 160
backbone.features.12.channel_mixer.m.2.bn.bias               | [160]                     | 160
backbone.features.12.channel_mixer.m.2.bn.running_mean       | [160]                     | 160
backbone.features.12.channel_mixer.m.2.bn.running_var        | [160]                     | 160
backbone.features.12.channel_mixer.m.2.bn.num_batches_tracked | []                        | 1
backbone.features.13.token_mixer.0.conv.c.weight             | [160, 1, 3, 3]            | 1,440
backbone.features.13.token_mixer.0.conv.bn.weight            | [160]                     | 160
backbone.features.13.token_mixer.0.conv.bn.bias              | [160]                     | 160
backbone.features.13.token_mixer.0.conv.bn.running_mean      | [160]                     | 160
backbone.features.13.token_mixer.0.conv.bn.running_var       | [160]                     | 160
backbone.features.13.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.13.token_mixer.0.conv1.weight              | [160, 1, 1, 1]            | 160
backbone.features.13.token_mixer.0.conv1.bias                | [160]                     | 160
backbone.features.13.token_mixer.0.bn.weight                 | [160]                     | 160
backbone.features.13.token_mixer.0.bn.bias                   | [160]                     | 160
backbone.features.13.token_mixer.0.bn.running_mean           | [160]                     | 160
