================================================================================
模型文件: flickcd_student_backbone.pth
文件类型: State Dict (Pure Weights)
总层数: 486
================================================================================

Layer Name (键名)                                              | Shape (维度)                | Params (参数量)
decoder.psa1.sa.to_qkv.weight                                | [240, 1, 1, 1]            | 240
decoder.psa1.sa.to_qkv.bias                                  | [240]                     | 240
decoder.psa1.sa.to_out.weight                                | [80, 80, 1, 1]            | 6,400
decoder.psa1.mlp.0.weight                                    | [320, 80, 1, 1]           | 25,600
decoder.psa1.mlp.0.bias                                      | [320]                     | 320
decoder.psa1.mlp.2.weight                                    | [80, 320, 1, 1]           | 25,600
decoder.psa1.mlp.2.bias                                      | [80]                      | 80
decoder.psa1.bn1.weight                                      | [80]                      | 80
decoder.psa1.bn1.bias                                        | [80]                      | 80
decoder.psa1.bn1.running_mean                                | [80]                      | 80
decoder.psa1.bn1.running_var                                 | [80]                      | 80
decoder.psa1.bn1.num_batches_tracked                         | []                        | 1
decoder.psa1.bn2.weight                                      | [80]                      | 80
decoder.psa1.bn2.bias                                        | [80]                      | 80
decoder.psa1.bn2.running_mean                                | [80]                      | 80
decoder.psa1.bn2.running_var                                 | [80]                      | 80
decoder.psa1.bn2.num_batches_tracked                         | []                        | 1
decoder.psa2.sa.pos_encode                                   | [225, 4]                  | 900
decoder.psa2.sa.pos_index                                    | [64, 64]                  | 4,096
decoder.psa2.sa.to_qkv.weight                                | [240, 1, 1, 1]            | 240
decoder.psa2.sa.to_qkv.bias                                  | [240]                     | 240
decoder.psa2.sa.to_out.weight                                | [80, 80, 1, 1]            | 6,400
decoder.psa2.mlp.0.weight                                    | [320, 80, 1, 1]           | 25,600
decoder.psa2.mlp.0.bias                                      | [320]                     | 320
decoder.psa2.mlp.2.weight                                    | [80, 320, 1, 1]           | 25,600
decoder.psa2.mlp.2.bias                                      | [80]                      | 80
decoder.psa2.bn1.weight                                      | [80]                      | 80
decoder.psa2.bn1.bias                                        | [80]                      | 80
decoder.psa2.bn1.running_mean                                | [80]                      | 80
decoder.psa2.bn1.running_var                                 | [80]                      | 80
decoder.psa2.bn1.num_batches_tracked                         | []                        | 1
decoder.psa2.bn2.weight                                      | [80]                      | 80
